"Subject" "Activity" "Average"
26 "WALKING" -0.13122968824122
26 "WALKING_DOWNSTAIRS" -0.0919334216449778
26 "WALKING_UPSTAIRS" -0.188857486108154
27 "LAYING" -0.313654168217271
27 "SITTING" -0.331878071444913
27 "STANDING" -0.347472128111366
27 "WALKING" -0.131790576608037
27 "WALKING_DOWNSTAIRS" -0.0581367032684807
27 "WALKING_UPSTAIRS" -0.228366968772251
28 "LAYING" -0.392117040968059
28 "SITTING" -0.365960142901893
28 "STANDING" -0.391193107299444
28 "WALKING" -0.164250204651477
28 "WALKING_DOWNSTAIRS" -0.034829232377698
28 "WALKING_UPSTAIRS" -0.183628654099186
29 "LAYING" -0.294719413445851
29 "SITTING" -0.325083252667989
29 "STANDING" -0.33979830394222
29 "WALKING" -0.0895429566761456
29 "WALKING_DOWNSTAIRS" -0.0733890880827423
29 "WALKING_UPSTAIRS" -0.186137887428199
30 "LAYING" -0.352035935159907
30 "SITTING" -0.352289154001121
30 "STANDING" -0.39385718199293
30 "WALKING" -0.143775220223752
30 "WALKING_DOWNSTAIRS" -0.131559644622809
30 "WALKING_UPSTAIRS" -0.276024002220579
